project_id,user_id,members,mentions,message_number
2 33 142 ,3,10 6 4 81,0 0 0 0,1 3 1 1
7 33 73 140 ,4,3 11 6 16 144 9,0 0 0 0 0 0,1 19 1 1 1 1
16 33 72 120 ,6,69 53 79 50 74 3 14 138 17 9  141 56 4 83 85 16,6 6 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9 24 1 10 3 6 5 8 1 2 1 2 4 2 4 6 9 3
2 17 39 72 74 ,9,4 83 53 33 6 50,0 0 0 0 0 0,1 2 3 3 3 1
50 144 ,14,83 56 6 16 74,0 0 0 0 0,2 3 2 1 2
67,30,58,0,1
2 39 50 ,33,81,0,1
138,47,12 42 51,0 47 51,3 17
138,51,42 12 47 62,51 0 51,6 31 7
39 40 144 154 ,53,80 56 33 6 16 9,0 0 0 0,2 14 2 1
50 71 144 154 ,56,81 6 23 16 17 63 59,0 0 56 0 0 0 0,7 1 9 3 1 5 1
67,58,50 30,0 0,1 1
138,62,62 83 51 16,0 62 0 0,2 26 1 7
1,63,85 56,0 0,4 4
2 78 ,74,81 83 14 6 79 16,74 0 74 0 0 0,5 1 21 1 5 12
50 72 ,83,141 14 6 17 9 74 62,0 0 0 0 0 0 0 83,8 5 2 6 9 2 13 1
16,85,6 63,85 85,12 12
78,145,146,145,3
78,146,145,0,1
2 33 70 ,3,27 4 5 83 56 85 16,0 0 0 0 0 0 0,2 18 4 4 20 8 3
16 32 39 ,4,3 5 83 23 6 138 16 17 59 74,0 0 0 0 0 0,2 3 3 7 1 1
16 33 50 120 ,6,69 56 62 79 90 63 74 4 85 83 141 138 16 78,0 0 0 0 0 0 0 4 78 6 0 0 0 141 6,4 1 4 2 4 1 1 11 1 2 1 14
33 74 ,14,4 74 53 16,0 0 0 0,2 1 4 1
75,17,10 74 4 83 138 16 62,0 0 0 0 74 16,3 15 1 11 2
37,32,5,0,9
39,33,83 5 53 9,0 0 0 0,1 18 1 1
138,51,26 42 12 47 62,0 0 51,4 54 1
39 78 144 ,53,74 4 5 14 80 33 16 146 9,0 53 14 0 0 0 0 0 0 0,1 27 9 3 24 1 3 7 5
74,56,3 4 5 81 63 59,0 56 0 0 0 56,13 9 5 4 1 3
67,58,30 5,0 0,1 3
138,62,85 83 6 16 50 17 26 51,0 0 0 50 0 0 83 6,6 3 3 2 43 1 1
1,63,6 85 56,0 0 0,3 1 5
61,69,144 6 83,0 0 83 6,2 1 1
33 36 78 ,74,53 6 79 4 83 14 81 138 16 17 143 141,0 0 0 0 74 0 0 0,1 2 1 15 5 3 1 3
120,78,6 4,0,2
78,85,3 6 63,0 0 85,5 13 14
50,90,145,0,1
16 50 ,141,83 6 79 16 92 74,0 0 0 0 0 141,5 8 10 2 4 20
2,143,154,0,1
78,145,90 146,0 145,2 1
78,146,145 53,0 0,6 11
2 33 78 142 ,3,4 56 6 23 10 74,0 0 0 0 0 0,1 2 2 1 5 3
16 33 71 74 159 ,4,83 69 14 6 17 78,0 0 0 0 0 0,7 2 1 1 1 1
16 50 118 ,6,3 4 69 78 63 9 141,0 0 0 0 0 6 0,4 9 2 1 3 3 2
16 50 144 ,14,3 4 69 53 16,0 14 0 0 0,2 3 2 7 4
2,17,53 62 6 10 26 4 83 9 141,0 0 4 6 0,32 3 1 1
37,32,73 59,0 0,3 2
16 39 ,33,23,0,1
138,51,12 47 42,0,2
16 39 144 ,53,62 6 26 74 4 85 14 83 17 9 141,0 0 0 0,11 5 9 1
16 33 70 71 ,56,3 81 14 16 59 141,0 0 0 0 0 0,5 2 1 3 11 2
37 67 ,59,5 32 56 50 65 63,0 0 0 0 0 0,2 1 18 5 2 4
1,63,85 6 69 59,0 0 0 0,1 1 3 10
2,65,59,0,2
7,69,4 83 14 6 63 9,0 0 0 0 69 0,1 3 2 3 8 6
16 33 36 ,74,145 3 85 83 53 146,0 0 0 0 0,3 7 2 9 1
120,78,6 4,4,2
16,83,69 56 17 74 62,0 83 0 0 0,2 1 3 6 1
16 33 ,85,74 53 62 63,0 0 85 0,4 2 10 16
16 33 ,141,83 56,0 0,5 1
2,143,10 154,0 143,2 3
16,144,69,0,1
78,145,146 74,74 145,3
7 33 73 74 ,4,10 9 6,0 0 0,1 1 1
33,4,53 62 6 50 26 83 138 17 9 141,0 0 0 83,1 1 1 1
2 17 40 73 74 ,4,10 3 83,0 0 0,1 3 1
61 74 78 ,6,4 83 53 62 78 17 26 9 74 141,0 0 0 0 0 0 0 0,1 1 1 2 1 1 1 1
2,10,27 3 4 143,10 0 0 0,21 3 3 5
74 78 144 ,14,53 16,14 0,1 4
135,17,4 83 53 141 6 26 9 62,4 17,2
67,30,51,0,5
39 50 ,33,53,0,1
138,51,27 62 26 30,0 0 0 0,2 2 3 8
39 78 144 ,53,80 14 85 33 16,0 0 0 0 0,10 6 3 18 5
74,56,83 16 26 141,0 0 0 0,1 3 3 1
67,58,50,0,3
138,62,27 4 83 32 53 141 6 17 26 51 59 9 74 ,62 0 0 0 0 27 0,16 2 2 2 2 8 1
1,63,59,0,1
50 78 144 ,74,145 83 6 16 146,0 0 0 0,1 4 2 1
17,83,69 53 62 6 79 26 4 17 9 141,0 0 0 0 0 0 0 0,1 1 1 2 2 19 1 1
78,85,90 53,0 0,4 2
16 50 78 ,141,50 6 83 56,0 141 0 141,4 6 1 37
2,143,10 69,0 0,7 14
78,145,146,145,4
78,146,145 74,146 146,1 1
16 33 71 72 73 ,4,3 81 5 83 6 138 50,0 0 0 0 0 0 138 0,1 2 2 1 1 2 2 1
1 16 33 71 118 ,6,66 11 83 138   17 62,0 0 0 0 0 0 0,2 5 2 3 1 4 1
2,10,27 5 138 17 143,0 0 0 0 0,10 5 3 5 1
16 144 ,14,11 83 141 16,0 14 0 0,3 11 2 1
16 135 ,17,10 6 83,0 0 0,5 4 2
39,33,53,0,5
138,42,12 47 51,0,2
138,51,26 42 12 47 62,0 51 51,4 15 6
16 39 40 144 ,53,80 33,0 0,8 5
67,58,50,0,3
135 138 ,62,83 6 50 65 51 74   ,0 0 0 0 0 0 62,8 12 17 2 9 5 12
1,63,27 6,0 0,2 3
2,65,62,0 0,1 1
41 50 72 78 144 ,74,145 5 62 16 146 141,0 0 74 0 74,5 2 13 4 5
16,83,69 62 6 11 4 14 16 17 141,0 0 0 0 0 0 0 0 0 0,5 1 2 1 1 18 7 4 1 2
16,141,83 14 6 138 16 74,0 0 141 0 0 0 0,10 3 2 3 6 1 7
2,143,10,0,2
78,146,145 6 74,0 6 0,5 1 2
37 71 74 ,4,3 83 53 56 6 23 16 50 9,0 0 0 0 0 0 0 0,1 10 1 5 3 1 2 1
33 61 ,6,69 56 63 145 11 4 83 138 146 9 141,6 0 0 0 0 0 0 0 6 0 0 0 0,7 5 4 1 2 1 1 1 1 3 10 1 1
2 141 ,10,3 81 83 138 143,0 0 0 0 0,13 3 2 1 1
16 33 50 144 ,14,9 79 16,0 14 0,3 6 3
141,16,4 83 14 6 16,16 56 16 0 0,1 5 2 1
2 135 ,17,83,17,8
2 39 ,33,66 53 9,0 0 0,1 2 1
67,50,58 4 56 59 9,50 0 0 50 0,3 2 2 1 6
17 138 ,51,12 47 26 42,0 51,1 1
39 40 100 ,53,3 4 80 66 33 79 9,0 0 0 0 0 0,2 1 4 3 17 1
50,56,11 4 32 6 23 50,0 0 0 0 0,2 5 3 4 1
1,63,85 83,0 0,10 2
16,69,11 6 83,0 0,5 3
50 100 144 ,79,145 3 83 53   16,0 79 79 79 0 0,4 12 7 7 1 2
50,83,69 53 6 79 10 63 74 4 11 14 138 16 17 9 141,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 1 6 4 8 10 8 7 3 1 1 8 1 1
2,143,10 66 81 154,0 0 0 0,1 10 6 1
78,145,146 79,0 145,2 4
78,146,27 145 83 6,0 0 146 0,3 2 5 1
2,3,4 56 23 16 10 50 9,0 0 0 3 0 3 0,1 11 15 17 2 8 2
17 33 39 41 71 ,4,56 6 23 50 74 3 81 16 59 9 ,0 4 0 0 0 0 0 0 0 0 0,1 4 3 2 1 4 1 1 1 1 1
1 33 118 ,6,66 4 83 6 90 63 9,0 0 0 0 0 0,1 6 1 1 2 1
39 50 74 ,9,3 4 83 6,0 0 0 0,10 5 1 1
16 50 144 ,14,143 9 16,0 0 0,1 1 2
41 141 ,16,3 4 69 14 53 26 141,0 0 0 0 0 0 0,10 2 2 1 12 2 4
2 16 135 ,17,10 83 53 62,17 0 0 0,21 5 2 3
37,23,3 4 5 50 26,23 0 23 0 0,2 1 71 33 4
39,33,3,0,1
67,50,3 4 62 23 9 141,0 0 0 0 0,5 4 2 1 3
138,51,26 62,51 0,3 11
40 100 144 ,53,143 17 16,0 0 0,17 4 3
144,56,3 4 59,0 56 0,5 9 9
67,59,4 56,0 59 0,2 18 6
1,63,6,0,2
2,65,62,65,3
100 144 ,74,145 4 83 146 141,0 0 0 0,1 5 4 2
78,85,10,0,16
50,141,83 50 74 16,0 0 0 0,5 1 2 1
2,143,53 154 14 66,0 0 143 0,5 2 15 1
78,145,146 90 74,145 0 0,7 2 2
78,146,145 74,0 0,1 1
2 33 78 ,3,85 83 53 50 9,0 0 3 0,3 19 1 2
32 33 67 71 73 ,4,56 6 50 59 9,0 0,5 1
7 17 33 39 ,9,3 4 83 14 56 6 50,0 0 0 0 0,1 2 1 1 3
33 50 78 144 ,14,83 53 79 50 90 74,0 0 0 14 0 0,1 2 2 4 1 1
141,16,138 16,0 16,1 3
2 135 ,17,10,0,3
39,33,154 81 83 53,0 0 0 0,5 1 6 8
33 67 71 ,50,3 58 4 56 23 6 9,0 0 0 0 0,1 3 4 1 2
138,51,26 42 12 47,51 51 51,6 2 1
100,53,3 5 14 33 74,0 0 0 0 0,4 4 1 7 5
67,59,4 62,0 0,13 3
1,63,6 69,0 0,1 6
2,65,5,0,2
33 78 141 144 ,74,145 85 53 14 56 79 16 146,0 0 74 0 0 0 0,2 4 6 3 13 13 1
17 50 100 144 ,79,74 14 141,0 0 0,1 17 4
7 72 75 ,83,69 6 3 33 138 17 9 141,0 0 0 0 0 0 0 0 0,15 2 4 2 2 3 4 23 1
33 78 ,85,3 74,0 85,6 8
78,90,145 146 6,0 90,1 5
33,141,83 79,0 0,3 31
2,143,66 154,0 0,1 3
78,145,146 90,145 0,5 3
78,146,145 90,0,1
33,6,3 4 83 90 63 141,0 0 0 0 0 0,1 9 1 3 2 1
33,4,10 6 81,0 0 0,1 1 1
78,3,4 5 56 10 65 9,0 0 0 0 0 0,3 74 1 14 1 2
2 16 33 39 61 74 141 ,4,6 10 50 3 81 83   59 9,0 0 0 4 0 0 0 0 0,2 4 6 2 1 1 3 1 1
61 74 78 ,6,9 4 83 56,0 0,10 2
33 39 74 ,9,69 56 6 3 4 11 14 81 33 83,0 0 0 0 0 0 0 0,1 4 6 2 1 2 1 2
2 141 ,10,3 4 5 16 17 143 154,10 10 0 10 0 0 0,13 4 2 10 3 2 7
