standup_date,user_id,project_id,interest_id,time
21/06/2017,3,2,29,160
21/06/2017,3,33,29,160
21/06/2017,3,142,3,160
21/06/2017,4,7,37,120
21/06/2017,4,33,4,120
21/06/2017,4,73,19,120
21/06/2017,4,140,23,120
21/06/2017,6,16,41,120
21/06/2017,6,33,41,120
21/06/2017,6,72,36,120
21/06/2017,6,120,37,120
21/06/2017,9,2,29,96
21/06/2017,9,17,8,96
21/06/2017,9,39,29,96
21/06/2017,9,72,12,96
21/06/2017,9,74,23,96
21/06/2017,14,50,29,240
21/06/2017,14,144,29,240
21/06/2017,30,67,30,480
21/06/2017,33,2,43,160
21/06/2017,33,39,32,160
21/06/2017,33,50,12,160
21/06/2017,47,138,29,160
21/06/2017,51,138,29,160
21/06/2017,53,39,29,96
21/06/2017,53,40,29,96
21/06/2017,53,144,29,96
21/06/2017,53,154,29,96
21/06/2017,56,50,29,80
21/06/2017,56,71,26,80
21/06/2017,56,144,6,80
21/06/2017,56,154,33,80
21/06/2017,58,67,30,480
21/06/2017,62,138,29,160
21/06/2017,62,138,32,160
21/06/2017,63,1,30,480
21/06/2017,65,2,31,480
21/06/2017,74,2,33,240
21/06/2017,74,78,41,240
21/06/2017,78,120,37,480
21/06/2017,83,50,8,80
21/06/2017,83,50,29,80
21/06/2017,83,72,5,80
21/06/2017,83,72,12,80
21/06/2017,85,16,30,240
21/06/2017,145,78,5,240
21/06/2017,145,78,33,240
21/06/2017,146,78,5,240
21/06/2017,146,78,33,240
22/06/2017,3,2,30,160
22/06/2017,3,33,29,160
22/06/2017,3,70,29,160
22/06/2017,4,16,37,80
22/06/2017,4,32,27,80
22/06/2017,4,39,29,80
22/06/2017,6,16,29,80
22/06/2017,6,33,36,80
22/06/2017,6,50,26,80
22/06/2017,6,120,37,80
22/06/2017,14,33,5,160
22/06/2017,14,74,23,160
22/06/2017,17,75,36,240
22/06/2017,30,67,30,480
22/06/2017,32,37,31,480
22/06/2017,33,39,32,480
22/06/2017,51,138,31,240
22/06/2017,53,39,29,160
22/06/2017,53,78,29,160
22/06/2017,53,144,31,160
22/06/2017,56,74,29,240
22/06/2017,58,67,30,480
22/06/2017,62,138,32,160
22/06/2017,63,1,30,480
22/06/2017,65,2,30,240
22/06/2017,65,2,31,240
22/06/2017,69,61,4,480
22/06/2017,73,67,31,240
22/06/2017,74,33,41,120
22/06/2017,74,36,33,120
22/06/2017,74,78,41,120
22/06/2017,78,120,37,480
22/06/2017,85,78,31,480
22/06/2017,90,50,31,480
22/06/2017,141,16,29,160
22/06/2017,141,50,29,160
22/06/2017,143,2,31,480
22/06/2017,145,78,29,160
22/06/2017,145,78,33,160
22/06/2017,145,78,41,160
22/06/2017,146,78,29,240
22/06/2017,146,78,33,240
23/06/2017,3,2,30,120
23/06/2017,3,33,29,120
23/06/2017,3,78,31,120
23/06/2017,3,142,3,120
23/06/2017,4,16,37,68
23/06/2017,4,33,36,68
23/06/2017,4,33,41,68
23/06/2017,4,71,26,68
23/06/2017,4,71,27,68
23/06/2017,4,74,23,68
23/06/2017,4,159,23,68
23/06/2017,6,16,29,160
23/06/2017,6,50,26,160
23/06/2017,6,118,22,160
23/06/2017,14,16,5,160
23/06/2017,14,50,29,160
23/06/2017,14,144,29,160
23/06/2017,17,2,32,240
23/06/2017,30,67,30,480
23/06/2017,32,37,31,480
23/06/2017,33,16,5,240
23/06/2017,33,39,32,240
23/06/2017,51,138,29,160
23/06/2017,51,138,31,160
23/06/2017,53,16,5,120
23/06/2017,53,39,29,120
23/06/2017,53,39,31,120
23/06/2017,53,144,31,120
23/06/2017,56,16,5,96
23/06/2017,56,33,41,96
23/06/2017,56,70,6,96
23/06/2017,56,71,27,96
23/06/2017,59,37,29,160
23/06/2017,59,67,29,160
23/06/2017,63,1,31,480
23/06/2017,65,2,31,480
23/06/2017,69,7,13,480
23/06/2017,73,37,29,480
23/06/2017,74,16,5,160
23/06/2017,74,33,41,160
23/06/2017,74,36,33,160
23/06/2017,78,120,37,480
23/06/2017,83,16,4,120
23/06/2017,83,16,5,120
23/06/2017,85,16,29,240
23/06/2017,85,33,41,240
23/06/2017,141,16,5,120
23/06/2017,141,16,29,120
23/06/2017,141,33,41,120
23/06/2017,143,2,31,480
23/06/2017,144,16,5,240
23/06/2017,145,78,33,480
23/06/2017,146,78,33,480
24/06/2017,4,7,37,96
24/06/2017,4,33,36,96
24/06/2017,4,73,19,96
24/06/2017,4,73,27,96
24/06/2017,4,74,29,96
25/06/2017,4,33,41,480
25/06/2017,42,138,31,480
26/06/2017,4,2,29,80
26/06/2017,4,17,29,80
26/06/2017,4,40,29,80
26/06/2017,4,73,27,80
26/06/2017,4,74,29,80
26/06/2017,6,61,9,160
26/06/2017,6,74,23,160
26/06/2017,6,78,29,160
26/06/2017,10,2,29,240
26/06/2017,10,2,31,240
26/06/2017,12,138,31,240
26/06/2017,14,74,41,160
26/06/2017,14,78,29,160
26/06/2017,14,144,33,160
