timestamp,user_id,members,mentions,message_number
21/06/2017,3,10 6 4 81,0 0 0 0,1 3 1 1
21/06/2017,4,3 11 6 16 144 9,0 0 0 0 0 0,1 19 1 1 1 1
21/06/2017,XXXXX,23 26,0 0,13 1
21/06/2017,6,69 53 79 50 74 3 14 138 17 9 152 141 56 4 83 85 16,6 6 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9 24 1 10 3 6 5 8 1 2 1 2 4 2 4 6 9 3
21/06/2017,9,4 83 53 33 6 50,0 0 0 0 0 0,1 2 3 3 3 1
21/06/2017,XXXXX,3,10,2
21/06/2017,XXXXX,4,0,1
21/06/2017,XXXXX,42 47 51,0,1
21/06/2017,14,83 56 6 16 74,0 0 0 0 0,2 3 2 1 2
21/06/2017,XXXXX,4 74 62,0 0 0,4 1 2
21/06/2017,XXXXX,4 83 56 6 152,0 0 0 0,2 7 1 2
21/06/2017,XXXXX,5 56 50 26,0 50 23 0 23 26,18 8 7 6
21/06/2017,30,58,0,1
21/06/2017,33,81,0,1
21/06/2017,XXXXX,12 47 51,42,1
21/06/2017,47,12 42 51,0 47 51,3 17
21/06/2017,XXXXX,58 6 23,0 0 0,3 1 2
21/06/2017,51,42 12 47 62,51 0 51,6 31 7
21/06/2017,53,80 56 33 6 16 9,0 0 0 0,2 14 2 1
21/06/2017,56,81 6 23 16 17 63 59,0 0 56 0 0 0 0,7 1 9 3 1 5 1
21/06/2017,58,50 30,0 0,1 1
21/06/2017,XXXXX,56,0,3
21/06/2017,62,62 83 51 16,0 62 0 0,2 26 1 7
21/06/2017,63,85 56,0 0,4 4
21/06/2017,XXXXX,6,0,6
21/06/2017,74,81 83 14 6 79 16,74 0 74 0 0 0,5 1 21 1 5 12
21/06/2017,XXXXX,6 16 74,0 79 0 0,1 27 3 2
21/06/2017,XXXXX,53,0,9
21/06/2017,XXXXX,3,0,2
21/06/2017,83,141 14 6 17 9 74 62,0 0 0 0 0 0 0 83,8 5 2 6 9 2 13 1
21/06/2017,85,6 63,85 85,12 12
21/06/2017,XXXXX,6,0,1
21/06/2017,XXXXX,79,0,1
21/06/2017,XXXXX,6 16,0,1
21/06/2017,XXXXX,6 83,141 0,11 12
21/06/2017,XXXXX,4 69,0 0,1 1
21/06/2017,145,146,145,3
21/06/2017,146,145,0,1
21/06/2017,XXXXX,17 6,0 0,2 3
21/06/2017,XXXXX,10 143,0 0,2 4
22/06/2017,3,27 4 5 83 56 85 16,0 0 0 0 0 0 0,2 18 4 4 20 8 3
22/06/2017,4,3 5 83 23 6 138 16 17 59 74,0 0 0 0 0 0,2 3 3 7 1 1
22/06/2017,XXXXX,27 58 32 53 56 23 10 26 47 3 4 33,0 5 0 0 0 0 0 0 0 0 0 26,18 6 8 9 1 12 2 10 26 4 4 35
22/06/2017,6,69 56 62 79 90 63 74 4 85 83 141 138 16 78,0 0 0 0 0 0 0 4 78 6 0 0 0 141 6,4 1 4 2 4 1 1 11 1 2 1 14
22/06/2017,XXXXX,9,0,1
22/06/2017,XXXXX,27 17 5,10 0 10,4 2 3
22/06/2017,14,4 74 53 16,0 0 0 0,2 1 4 1
22/06/2017,XXXXX,53 6 79 90 144 74 3 4 83 14 141 138 16 17 62,0 0 0 0 0 0 16 0 0 0 0 0 0 0 0,1 1 1 1 6 1 6 2 3 1 5 18 1 1 1
22/06/2017,17,10 74 4 83 138 16 62,0 0 0 0 74 16,3 15 1 11 2
22/06/2017,XXXXX,4 5 50 26,0 0 0 0 23 26 5,12 14 6 9 55
22/06/2017,XXXXX,5 23 51 59 62,0 59 26 0 0 62 23 5 26,1 8 1 1 2 21
22/06/2017,XXXXX,10 3,27 0,4 3
22/06/2017,32,5,0,9
22/06/2017,33,83 5 53 9,0 0 0 0,1 18 1 1
22/06/2017,XXXXX,12 51 5 42,0 47,6 2
22/06/2017,XXXXX,23 81 62 59,0 0 0 0,4 4 1 1
22/06/2017,51,26 42 12 47 62,0 0 51,4 54 1
22/06/2017,53,74 4 5 14 80 33 16 146 9,0 53 14 0 0 0 0 0 0 0,1 27 9 3 24 1 3 7 5
22/06/2017,56,3 4 5 81 63 59,0 56 0 0 0 56,13 9 5 4 1 3
22/06/2017,58,30 5,0 0,1 3
22/06/2017,XXXXX,50 4 56,0 0 0,3 12 5
22/06/2017,62,85 83 6 16 50 17 26 51,0 0 0 50 0 0 83 6,6 3 3 2 43 1 1
22/06/2017,63,6 85 56,0 0 0,3 1 5
22/06/2017,69,144 6 83,0 0 83 6,2 1 1
22/06/2017,74,53 6 79 4 83 14 81 138 16 17 143 141,0 0 0 0 74 0 0 0,1 2 1 15 5 3 1 3
22/06/2017,78,6 4,0,2
22/06/2017,XXXXX,141,0,9
22/06/2017,XXXXX,53,0,3
22/06/2017,XXXXX,50 56,0 81,1 4
22/06/2017,XXXXX,69 62 6 74 3 4 33 16 17 141,0 0 0 0 0 0 0 0 0 62 0,6 1 8 10 2 2 12 2 6 1 1
22/06/2017,85,3 6 63,0 0 85,5 13 14
22/06/2017,90,145,0,1
22/06/2017,XXXXX,141,0,1
22/06/2017,XXXXX,4 83 16 17 74,0,1
22/06/2017,141,83 6 79 16 92 74,0 0 0 0 0 141,5 8 10 2 4 20
22/06/2017,143,154,0,1
22/06/2017,XXXXX,16,0,7
22/06/2017,145,90 146,0 145,2 1
22/06/2017,146,145 53,0 0,6 11
22/06/2017,XXXXX,143,0,1
23/06/2017,3,4 56 6 23 10 74,0 0 0 0 0 0,1 2 2 1 5 3
23/06/2017,4,83 69 14 6 17 78,0 0 0 0 0 0,7 2 1 1 1 1
23/06/2017,XXXXX,47 23 32 59,0 0 5 0,59 2 7 2
23/06/2017,6,3 4 69 78 63 9 141,0 0 0 0 0 6 0,4 9 2 1 3 3 2
23/06/2017,XXXXX,6,0,2
23/06/2017,XXXXX,27 3 17 143 154,0 0 0 0 0,3 17 3 1 1
23/06/2017,14,3 4 69 53 16,0 14 0 0 0,2 3 2 7 4
23/06/2017,XXXXX,50 56,0 0,2 4
23/06/2017,17,53 62 6 10 26 4 83 9 141,0 0 4 6 0,32 3 1 1
23/06/2017,XXXXX,3 26 5 33,0 0 0 0,1 68 51 1
23/06/2017,XXXXX,53 23 6 4 5 83 141 17 9 62,26 26 26 0,4 61 7 3
23/06/2017,XXXXX,10,0,5
23/06/2017,32,73 59,0 0,3 2
23/06/2017,33,23,0,1
23/06/2017,XXXXX,12 47 51,0,1
23/06/2017,XXXXX,12 51 5 42,0 0,9 1
23/06/2017,XXXXX,59 16,0 50,1 16
23/06/2017,51,12 47 42,0,2
23/06/2017,53,62 6 26 74 4 85 14 83 17 9 141,0 0 0 0,11 5 9 1
23/06/2017,56,3 81 14 16 59 141,0 0 0 0 0 0,5 2 1 3 11 2
23/06/2017,59,5 32 56 50 65 63,0 0 0 0 0 0,2 1 18 5 2 4
23/06/2017,XXXXX,83 17 26 85,0 0 0 0,1 3 4 1
23/06/2017,63,85 6 69 59,0 0 0 0,1 1 3 10
23/06/2017,65,59,0,2
23/06/2017,69,4 83 14 6 63 9,0 0 0 0 69 0,1 3 2 3 8 6
23/06/2017,74,145 3 85 83 53 146,0 0 0 0 0,3 7 2 9 1
23/06/2017,78,6 4,4,2
23/06/2017,XXXXX,56,0,9
23/06/2017,83,69 56 17 74 62,0 83 0 0 0,2 1 3 6 1
23/06/2017,85,74 53 62 63,0 0 85 0,4 2 10 16
23/06/2017,141,83 56,0 0,5 1
23/06/2017,143,10 154,0 143,2 3
23/06/2017,144,69,0,1
23/06/2017,145,146 74,74 145,3
23/06/2017,XXXXX,143 10,0 0,1 4
24/06/2017,4,10 9 6,0 0 0,1 1 1
24/06/2017,XXXXX,6 4,0,1
24/06/2017,XXXXX,4,0,1
24/06/2017,XXXXX,53,0,5
24/06/2017,XXXXX,85 53 56,0 0 0,2 3 1
24/06/2017,XXXXX,4 83 53 141 6 26 9 62,62,1
24/06/2017,XXXXX,73,0,1
24/06/2017,XXXXX,81,0,13
24/06/2017,XXXXX,62 6 26 4 83 14 16 17 9 141,0 0 62,6 6 1
24/06/2017,XXXXX,16,0,7
24/06/2017,XXXXX,4 83 53 6 17 26 9 141,0,2
24/06/2017,XXXXX,32,0,1
24/06/2017,XXXXX,6,0,1
24/06/2017,XXXXX,33,0,9
24/06/2017,XXXXX,4 83 53 6 17 26 9 62,0,1
24/06/2017,XXXXX,154,143,17
24/06/2017,XXXXX,146,145,2
24/06/2017,XXXXX,143,0,18
25/06/2017,4,53 62 6 50 26 83 138 17 9 141,0 0 0 83,1 1 1 1
25/06/2017,XXXXX,10,0,11
25/06/2017,XXXXX,9,6,1
25/06/2017,XXXXX,6 4,0,1
25/06/2017,XXXXX,5,0,16
25/06/2017,XXXXX,152,0,1
25/06/2017,XXXXX,83,0,2
25/06/2017,XXXXX,6 4,0,1
25/06/2017,XXXXX,50 4,0 0,2 1
26/06/2017,XXXXX,10 4 5,0 0 3,1 39 27
26/06/2017,4,10 3 83,0 0 0,1 3 1
26/06/2017,XXXXX,3 23 26 47,0 0 0 0,32 21 21 9
26/06/2017,6,4 83 53 62 78 17 26 9 74 141,0 0 0 0 0 0 0 0,1 1 1 2 1 1 1 1
26/06/2017,XXXXX,6,0,1
26/06/2017,10,27 3 4 143,10 0 0 0,21 3 3 5
26/06/2017,14,53 16,14 0,1 4
26/06/2017,XXXXX,53 14 56 138 74,0 0 0 0 0,1 3 4 3 4
26/06/2017,17,4 83 53 141 6 26 9 62,4 17,2
26/06/2017,XXXXX,26 5,0 0 5 26,18 10 71
26/06/2017,XXXXX,27 5 56 23 51 59,0 26 0 0 0 0,27 2 4 4 1 52
26/06/2017,XXXXX,10 62 32 51,0 0 0,9 1 9
26/06/2017,30,51,0,5
26/06/2017,33,53,0,1
26/06/2017,XXXXX,5,47,14
26/06/2017,XXXXX,58 69 4 138 141,0 0 0 0,5 2 4 1
26/06/2017,51,27 62 26 30,0 0 0 0,2 2 3 8
26/06/2017,XXXXX,4,0,1
26/06/2017,53,80 14 85 33 16,0 0 0 0 0,10 6 3 18 5
26/06/2017,56,83 16 26 141,0 0 0 0,1 3 3 1
26/06/2017,58,50,0,3
26/06/2017,62,27 4 83 32 53 141 6 17 26 51 59 9 74 82,62 0 0 0 0 27 0,16 2 2 2 2 8 1
26/06/2017,63,59,0,1
26/06/2017,XXXXX,143 50,0 69,2 18
26/06/2017,74,145 83 6 16 146,0 0 0 0,1 4 2 1
26/06/2017,XXXXX,83,0,1
26/06/2017,XXXXX,4 53,0 0,2 12
26/06/2017,XXXXX,4,0,1
26/06/2017,83,69 53 62 6 79 26 4 17 9 141,0 0 0 0 0 0 0 0,1 1 1 2 2 19 1 1
26/06/2017,85,90 53,0 0,4 2
26/06/2017,XXXXX,50 4 16,0 0,3 1
26/06/2017,141,50 6 83 56,0 141 0 141,4 6 1 37
26/06/2017,143,10 69,0 0,7 14
26/06/2017,145,146,145,4
26/06/2017,146,145 74,146 146,1 1
27/06/2017,XXXXX,4 5 16,0 0 0,4 6 3
27/06/2017,4,3 81 5 83 6 138 50,0 0 0 0 0 0 138 0,1 2 2 1 1 2 2 1
27/06/2017,XXXXX,27 23 10 50 26 47 74 3 4,5 0 5 0 0 0 0 0 23,14 5 10 11 2 30 3 3 13
27/06/2017,6,66 11 83 138 52 17 62,0 0 0 0 0 0 0,2 5 2 3 1 4 1
27/06/2017,10,27 5 138 17 143,0 0 0 0 0,10 5 3 5 1
27/06/2017,XXXXX,11 81 14 56 83 6 50,6 0 0 0 0 0 83,2 1 3 3 1 2 2
27/06/2017,XXXXX,51 47 42,0 47,1 2
27/06/2017,14,11 83 141 16,0 14 0 0,3 11 2 1
27/06/2017,XXXXX,3 83 14 141,16 0 0 0,4 12 2 1
27/06/2017,17,10 6 83,0 0 0,5 4 2
27/06/2017,XXXXX,26 5,0 23 5 26,5 48 77
27/06/2017,XXXXX,23 5 51,26 0 23 5 26,71 4 94
27/06/2017,XXXXX,10 5 63,0 0 0,1 2 7
27/06/2017,33,53,0,5
27/06/2017,42,12 47 51,0,2
27/06/2017,XXXXX,5 42 51 12,0 0 51,19 1 7
27/06/2017,XXXXX,11 4 5 58 138 9 62,0 0 0 0 0 50 0,1 1 2 2 4 6 1
27/06/2017,51,26 42 12 47 62,0 51 51,4 15 6
27/06/2017,XXXXX,6,0,1
27/06/2017,53,80 33,0 0,8 5
27/06/2017,XXXXX,138,0,4
27/06/2017,58,50,0,3
27/06/2017,62,83 6 50 65 51 74 82,0 0 0 0 0 0 62,8 12 17 2 9 5 12
27/06/2017,63,27 6,0 0,2 3
27/06/2017,65,62 82,0 0,1 1
27/06/2017,XXXXX,83,0,5
27/06/2017,74,145 5 62 16 146 141,0 0 74 0 74,5 2 13 4 5
27/06/2017,XXXXX,53,0,2
27/06/2017,XXXXX,11 4,0 0,2 1
27/06/2017,XXXXX,65 62,0 0,3 1
27/06/2017,83,69 62 6 11 4 14 16 17 141,0 0 0 0 0 0 0 0 0 0,5 1 2 1 1 18 7 4 1 2
27/06/2017,XXXXX,4 56 6 10 50 141,0 0 0 0 0 0,2 1 7 7 1 1
27/06/2017,141,83 14 6 138 16 74,0 0 141 0 0 0 0,10 3 2 3 6 1 7
27/06/2017,143,10,0,2
27/06/2017,146,145 6 74,0 6 0,5 1 2
28/06/2017,XXXXX,4 79 16 10 74,0 0 0 0 0,4 8 1 9 5
28/06/2017,4,3 83 53 56 6 23 16 50 9,0 0 0 0 0 0 0 0,1 10 1 5 3 1 2 1
28/06/2017,XXXXX,27 23 50 26,0 0 0 0,18 2 2 3
28/06/2017,6,69 56 63 145 11 4 83 138 146 9 141,6 0 0 0 0 0 0 0 6 0 0 0 0,7 5 4 1 2 1 1 1 1 3 10 1 1
28/06/2017,XXXXX,66 69 53 6 50 4 14 33,0 0 0 0 0 0 0 0,2 6 3 3 1 1 2 3
28/06/2017,10,3 81 83 138 143,0 0 0 0 0,13 3 2 1 1
28/06/2017,XXXXX,83 69 56 6,0 0 6,3 1 7
28/06/2017,XXXXX,51 47 42,0 0,2 1
28/06/2017,14,9 79 16,0 14 0,3 6 3
28/06/2017,16,4 83 14 6 16,16 56 16 0 0,1 5 2 1
28/06/2017,17,83,17,8
28/06/2017,XXXXX,4 5 32 56 26,0 0 0 0 0,12 30 10 1 3
28/06/2017,XXXXX,23 5 51,0 0 0,12 4 1
28/06/2017,XXXXX,146 5,27 0,1 6
28/06/2017,33,66 53 9,0 0 0,1 2 1
28/06/2017,XXXXX,12 51 42,0 0,1 2
28/06/2017,50,58 4 56 59 9,50 0 0 50 0,3 2 2 1 6
28/06/2017,51,12 47 26 42,0 51,1 1
28/06/2017,53,3 4 80 66 33 79 9,0 0 0 0 0 0,2 1 4 3 17 1
28/06/2017,56,11 4 32 6 23 50,0 0 0 0 0,2 5 3 4 1
28/06/2017,XXXXX,50,0,8
28/06/2017,63,85 83,0 0,10 2
28/06/2017,XXXXX,143,0,5
28/06/2017,69,11 6 83,0 0,5 3
28/06/2017,XXXXX,3 83,74 0,6 15
28/06/2017,79,145 3 83 53 127 16,0 79 79 79 0 0,4 12 7 7 1 2
28/06/2017,XXXXX,53,0,5
28/06/2017,XXXXX,10 4 143,0 0 81,1 7 10
28/06/2017,83,69 53 6 79 10 63 74 4 11 14 138 16 17 9 141,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 2 1 6 4 8 10 8 7 3 1 1 8 1 1
28/06/2017,XXXXX,63,0,4
28/06/2017,XXXXX,10 141,0 0,1 3
28/06/2017,XXXXX,83 6 138,0 0 0,1 4 2
28/06/2017,143,10 66 81 154,0 0 0 0,1 10 6 1
28/06/2017,145,146 79,0 145,2 4
28/06/2017,146,27 145 83 6,0 0 146 0,3 2 5 1
28/06/2017,XXXXX,153,0,2
28/06/2017,XXXXX,152,0,1
28/06/2017,XXXXX,143,0,1
29/06/2017,3,4 56 23 16 10 50 9,0 0 0 3 0 3 0,1 11 15 17 2 8 2
29/06/2017,4,56 6 23 50 74 3 81 16 59 9 152,0 4 0 0 0 0 0 0 0 0 0,1 4 3 2 1 4 1 1 1 1 1
29/06/2017,XXXXX,47 23,0 5,63 12
29/06/2017,6,66 4 83 6 90 63 9,0 0 0 0 0 0,1 6 1 1 2 1
29/06/2017,9,3 4 83 6,0 0 0 0,10 5 1 1
29/06/2017,XXXXX,3 17 85,0 0 0,5 25 7
29/06/2017,14,143 9 16,0 0 0,1 1 2
29/06/2017,16,3 4 69 14 53 26 141,0 0 0 0 0 0 0,10 2 2 1 12 2 4
29/06/2017,17,10 83 53 62,17 0 0 0,21 5 2 3
29/06/2017,23,3 4 5 50 26,23 0 23 0 0,2 1 71 33 4
29/06/2017,XXXXX,23 51,26 0,66 6
29/06/2017,33,3,0,1
29/06/2017,XXXXX,12 51 5 42,0 47,8 2
29/06/2017,50,3 4 62 23 9 141,0 0 0 0 0,5 4 2 1 3
29/06/2017,51,26 62,51 0,3 11
29/06/2017,53,143 17 16,0 0 0,17 4 3
29/06/2017,56,3 4 59,0 56 0,5 9 9
29/06/2017,59,4 56,0 59 0,2 18 6
