channel_id,project_id,project_owner_id,interest_id
C4FDN3W4T,,,4
C4EQCGK6U,,,6
C4G6B4Z2S,,,5
C4G64L52A,,,3
C4G620DCN,,,2
CAVKNP1AL,,,
C4ER40F08,,,26
C4FEFCASF,,,25
C4FK3M7EZ,,,27
C4ERZRYTB,,,28
CAQ8EBFPV,,,
C6H32QSSY,,,
C5GEF5F4M,,,
C2WTS96N4,,,
C2U1NV9J9,,,
C6SG0SUHW,,,
C5PJX3USF,,,
C6EM7L762,,,
C7ZBNJBQC,,,
C1RCAKAH4,38,50,
C81J1AFJQ,,,
C9FM9MJLW,,,
C8CTPDCJG,,,
C98SM68QK,189,56,
C2YQHAKLZ,,,
C8887U7SL,176,4,
C698LRLEB,159,9,
C6T3V22HZ,168,14,
C89HD7ZGF,39,9,
C2UH5HBA4,39,9,
CB8A38N4V,141,14,
C5C5TJ97H,144,4,
C54523T4H,141,14,
CB2TAR3K8,,,
C3JPWV76J,,,
C3J66CK0C,,,
C3WL78UJX,,,
C3JPYJ354,,,
C0J0X50G2,,,
C2588Q8LW,,,
C25RH93C4,,,
C0RFHJCSX,,,
C258JQMNK,,,
C3WL3S2RH,,,
C9BQYQX6G,178,81,
C9N5DBM8W,179,50,
C4G6KGF70,,,14
C4EQH9BBJ,,,12
C6N9WUPS4,,,45
C4EQLTQBS,,,15
C4FGZTTJ8,,,
C4V2UH5LY,,,42
C4G6EE5LN,,,
C4FFXEP6E,,,13
C4FGVSXDJ,,,8
C4FDSLWQK,,,9
C4FDR784B,,,7
C66QU462J,,,44
C4G7BBQ8P,,,21
C4FHHF9BN,,,22
C4ERVBDCZ,,,20
C4FJLR6E9,,,16
C4FHEQQ5A,,,17
C4FGBQSV8,,,18
C4FHG27FE,,,19
C4FGF8C02,,,24
C4G71MZ1U,,,23
C02EAQV7P,,,
C66NZLN5B,,,
C6MCRDUPK,,,
CAM0CPZ37,,,
C374T1HQC,,,
C78A5UTT6,,,
C8423GR70,,,
C84232ZDL,,,
C3UCFK3QD,,,
C89MQGDPV,,,
C82N69WLS,,,
C2QRMUFUG,,,
C29DMMD2Q,,,
C04NF1PA2,,,
C6ME100HH,,,
C46CXDQ0G,,,
C02EAQV7R,,,
C6QLGG03Y,,,
C7SNGFWGL,,,
C88H5P8QY,,,
C6ANAPUFR,,,
C2KK60NLF,,,
C044R6DNA,,,
C1NRSL0KX,,,
C4G7MNAF9,,,36
C4FEV6Z27,,,37
C4ESR5QM7,,,40
C4FJ0HBSQ,,,38
C4ESDP50R,,,39
C4G7W0P54,,,41
C4FHRN02Y,,,33
C4FKA15TP,,,35
C4ER91SC8,,,30
C4G79BV3Q,,,34
C4G7JEF39,,,29
C4FEMLUSF,,,32
C4YEMGAUB,,,43
C4G7KAG87,,,
C06NNECA1,70,3,
C4A24FGNS,,,
C55FLM2HY,,,
C499KHY83,83,62,
C12NC7K9N,4,141,
C0P1UKAN8,44,16,
C997EP9UM,195,3,
C6K19GLHY,,,
C12LY5LAF,1,3,
C2WQLCTN1,,,
CAFDRHVB6,,,
C23D1PVFY,,,
C50FGMERM,142,4,
C48M1Q8G1,,,
C3AL1QRR7,,,
C91J7FPKM,191,141,
C48M1G0JV,,,
C29SZBRJ7,71,56,
C49ECS6SY,,,
C49A17B27,,,
C3BD3LM6H,,,
CAEJ1JGQ1,202,156,
C04LNCBLA,72,6,
C0PEYDVUL,50,83,
C8NU7AXQE,180,141,
C54RQTEFR,,,
C542ZKQKW,,,
C542X5UJG,,,
C5449M0SH,,,
C49E310VA,,,
C4A273AHL,,,
C49BPV0EN,,,
C2U27FJ05,61,6,
C12NMMDG9,,,
C1VKYMAQ4,,,
C12NDUVU7,,,
C23BNFKUK,,,
C2P7A6ANM,,,
C3AL3DUE5,,,
C4A2K7VM5,,,
C12NTE7RQ,16,6,
CA4F7G1V2,,,
C69N3D0BD,,,
C77D6HQBG,171,69,
C1ARPTU0H,17,6,
C5XEG8NS3,17,6,
C4A2A96AJ,17,6,
C5EV28T0E,17,6,
C5SQT8KPD,,,
C49EBRT61,,,
C0439DY6E,73,11,
C48MA8S3B,,,
C6FG7AWJ3,165,14,
C84Q1SDRB,175,138,
C49EFJ46R,,,
C1UGD88RW,,,
C48MEMDA5,,,
C9JK23N3A,197,138,
C4A2JV9E2,,,
C94G1QX0Q,193,11,
C3BCUDN9J,,,
C8VUV6JUU,184,6,
C5V02QE3D,156,138,
C1J4X6VKP,,,
C12NTCLLS,,,
C49BV5NG2,,,
C4A2KFGKY,118,4,
C499TJG91,,,
C49EFNBMK,,,
C48MB7C4R,,,
C49EFDG2Z,,,
C0CQRSAG7,174,11,
C0XEMJU1L,74,50,
C6A1V6A75,,,
C48LFTSFJ,,,
C4A2CR85U,,,
C6BPQP3CH,163,4,
C23BCUCFK,,,
C8RBR5GH3,183,147,
C5GARL16Z,153,79,
CARQ0EU9M,207,11,
C5G19E540,154,56,
C49E50NEQ,,,
C48LDNWQY,,,
C9Y7LCNSW,201,50,
CAP04R8F6,204,50,
CAP04R8F6,208,50,
C5X6181D0,,,
C2U55NYSC,167,147,
C71A59JCF,,,
C2NDM15Q8,,,
CARNX0UTB,209,50,
CAPBZJ77B,205,50,
C8N357WAF,181,6,
C499S40M9,,,
C65LX5MKR,159,9,
C4KEA6ZPW,,,
C29KQ42RK,,,
C4A2Q5MRV,,,
C49BS4QTU,100,4,
C8Q4UMLE4,182,6,
C53FNM23T,,,
C4UQVETKP,140,50,
C9P6MCS9J,199,92,
C3BD5CYJH,,,
CAVPAB25U,211,11,
C4LNB6LNP,,,
C7KM38UUV,172,141,
C0H632RU1,32,4,
C48LFNDDW,,,
CAWH6D3F0,212,90,
CARPYE4P9,206,11,
C1E80KBMZ,29,16,
C9M86T7QA,198,85,
C1E9L1WJV,31,4,
C8BMWRFKJ,178,81,
C52LKBE77,,,
C8KCV31JL,179,50,
CAPB9BYDD,203,4,
C04365SC3,75,6,
C65TTEMMZ,123,6,
C49ELQY05,,,
C49BZCN4S,,,
C952V8W4B,192,4,
C12NE4LTS,33,6,
C49EBQMBN,,,
C1391959V,7,6,
C2U3J595Z,,,
C4A2LKKRC,,,
C36NNG6T1,,,
C4A2YPMP1,,,
C3C1E4DPH,,,
C1UKCA537,,,
C49EBSSMA,,,
C4A2L4BJS,122,6,
C499ZAH43,124,6,
C499YTEUT,,,
C8DAD8CT1,177,6,
C8SP4UPRT,,,
C07QVJTC7,76,4,
C8S9FMG2D,186,17,
C6D8K4QDP,,,
C712T0T6X,,,
C0HJ85WHZ,36,74,
C04NG5T5C,37,59,
C06U8J9FH,37,59,
C3J41BWLS,37,59,
C2NTK3GAG,37,59,
C3J6KRLUD,37,59,
C3J0S4J30,37,59,
C06U8Q1RR,37,59,
C3JQCBDD5,37,59,
C06U8R2D7,37,59,
C02GDJE1M,37,59,
C23AHDX7T,37,59,
C7ZAAFJMQ,,,
C2X2D8659,67,50,
C6VLY1AKU,67,50,
C8XSXQ43F,67,50,
C1J528STT,67,50,
CAP7RPA13,67,50,
C7E1T6WJV,67,50,
C39R7AJ20,67,50,
C9GV4751R,67,50,
C12MQ8QBV,,,
C0G9DM3SS,38,50,
C84KNV04A,38,50,
