timestamp,user_id,project_id
21/06/2017,3,2 33 142
21/06/2017,4,7 33 73 140
21/06/2017,6,16 33 72 120
21/06/2017,9,2 17 39 72 74
21/06/2017,14,50 144
21/06/2017,30,67
21/06/2017,33,2 39 50
21/06/2017,47,138
21/06/2017,51,138
21/06/2017,53,39 40 144 154
21/06/2017,56,50 71 144 154
21/06/2017,58,67
21/06/2017,62,138 138
21/06/2017,63,1
21/06/2017,XXXXX,2
21/06/2017,74,2 78
21/06/2017,XXXXX,120
21/06/2017,83,50 50 72 72
21/06/2017,85,16
21/06/2017,145,78 78
21/06/2017,146,78 78
22/06/2017,3,2 33 70
22/06/2017,4,16 32 39
22/06/2017,6,16 33 50 120
22/06/2017,14,33 74
22/06/2017,17,75
22/06/2017,XXXXX,67
22/06/2017,32,37
22/06/2017,33,39
22/06/2017,51,138
22/06/2017,53,39 78 144
22/06/2017,56,74
22/06/2017,58,67
22/06/2017,62,138
22/06/2017,63,1
22/06/2017,XXXXX,2 2
22/06/2017,69,61
22/06/2017,XXXXX,67
22/06/2017,74,33 36 78
22/06/2017,78,120
22/06/2017,85,78
22/06/2017,90,50
22/06/2017,141,16 50
22/06/2017,143,2
22/06/2017,145,78 78 78
22/06/2017,146,78 78
23/06/2017,3,2 33 78 142
23/06/2017,4,16 33 33 71 71 74 159
23/06/2017,6,16 50 118
23/06/2017,14,16 50 144
23/06/2017,17,2
23/06/2017,XXXXX,67
23/06/2017,32,37
23/06/2017,33,16 39
23/06/2017,51,138 138
23/06/2017,53,16 39 39 144
23/06/2017,56,16 33 70 71
23/06/2017,59,37 67
23/06/2017,63,1
23/06/2017,65,2
23/06/2017,69,7
23/06/2017,XXXXX,37
23/06/2017,74,16 33 36
23/06/2017,78,120
23/06/2017,83,16 16
23/06/2017,85,16 33
23/06/2017,141,16 16 33
23/06/2017,143,2
23/06/2017,144,16
23/06/2017,145,78
23/06/2017,XXXXX,78
24/06/2017,4,7 33 73 73 74
25/06/2017,4,33
25/06/2017,XXXXX,138
26/06/2017,4,2 17 40 73 74
26/06/2017,6,61 74 78
26/06/2017,10,2 2
26/06/2017,XXXXX,138
26/06/2017,14,74 78 144
26/06/2017,17,135
26/06/2017,30,67
26/06/2017,33,39 50
26/06/2017,51,138
26/06/2017,53,39 39 78 144
26/06/2017,56,74 74
26/06/2017,58,67
26/06/2017,62,138 138
26/06/2017,63,1
26/06/2017,XXXXX,2
26/06/2017,XXXXX,37
26/06/2017,74,50 78 144 144
26/06/2017,83,17
26/06/2017,85,78 78
26/06/2017,141,16 16 50 78
26/06/2017,143,2
26/06/2017,145,78 78
26/06/2017,146,78 78
27/06/2017,4,16 33 33 71 72 73 73 73
27/06/2017,6,1 16 16 33 71 118
27/06/2017,10,2
27/06/2017,14,16 16 144
27/06/2017,17,16 135
27/06/2017,XXXXX,67
27/06/2017,33,39
27/06/2017,42,138
27/06/2017,51,138 138
27/06/2017,53,16 39 40 144
27/06/2017,58,67
27/06/2017,62,135 138
27/06/2017,63,1
27/06/2017,65,2
27/06/2017,XXXXX,37
27/06/2017,74,41 50 72 78 78 144
27/06/2017,83,16
27/06/2017,XXXXX,78
27/06/2017,141,16 16
27/06/2017,143,2
27/06/2017,XXXXX,78 78 78
27/06/2017,146,78 78
28/06/2017,4,37 71 74
28/06/2017,6,33 61 61
28/06/2017,10,2 141
28/06/2017,14,16 33 50 50 144 144
28/06/2017,16,141
28/06/2017,17,2 135
28/06/2017,XXXXX,67
28/06/2017,33,2 39
28/06/2017,XXXXX,138
28/06/2017,50,67
28/06/2017,51,17 138
28/06/2017,53,39 40 100
28/06/2017,56,50
28/06/2017,XXXXX,67
28/06/2017,63,1
28/06/2017,XXXXX,2
28/06/2017,69,16
28/06/2017,XXXXX,67
28/06/2017,79,50 50 50 100 100 144
28/06/2017,83,50
28/06/2017,143,2
28/06/2017,145,78
28/06/2017,146,78
29/06/2017,3,2
29/06/2017,4,17 33 33 39 41 71
29/06/2017,6,1 33 33 118
29/06/2017,9,39 50 74
29/06/2017,14,16 50 144
29/06/2017,16,41 141 141
29/06/2017,17,2 16 135
29/06/2017,23,37
29/06/2017,XXXXX,67
29/06/2017,33,39
29/06/2017,XXXXX,138
29/06/2017,50,67
29/06/2017,51,138 138
29/06/2017,53,40 100 144
29/06/2017,56,144
29/06/2017,XXXXX,67
29/06/2017,59,67
29/06/2017,63,1
29/06/2017,65,2
29/06/2017,XXXXX,37
29/06/2017,74,100 144
29/06/2017,XXXXX,50 100 144
29/06/2017,85,78
29/06/2017,141,50
29/06/2017,143,2
29/06/2017,145,78
29/06/2017,146,78
30/06/2017,3,2 33 78 78
30/06/2017,4,32 33 67 71 73
30/06/2017,XXXXX,33 50 123
30/06/2017,9,7 17 33 39
30/06/2017,14,33 50 78 144
30/06/2017,16,141
30/06/2017,17,2 135
30/06/2017,XXXXX,67
30/06/2017,33,39
30/06/2017,XXXXX,138
30/06/2017,50,33 67 67 67 71
30/06/2017,51,138
30/06/2017,53,100
30/06/2017,59,67
30/06/2017,63,1
30/06/2017,65,2 2
30/06/2017,XXXXX,67
30/06/2017,74,33 78 141 144
30/06/2017,79,17 50 100 144
30/06/2017,83,7 72 72 75
30/06/2017,85,33 78
30/06/2017,90,78 78
30/06/2017,XXXXX,78
30/06/2017,141,33
30/06/2017,143,2
30/06/2017,145,78 78
30/06/2017,146,78 78
01/07/2017,6,33 33
02/07/2017,4,33
02/07/2017,XXXXX,144
03/07/2017,3,78 78
03/07/2017,4,2 16 33 39 61 74 141
03/07/2017,6,61 74 78
03/07/2017,9,33 39 74
03/07/2017,10,2 141
03/07/2017,14,33 73 144
03/07/2017,17,2 135
03/07/2017,XXXXX,67
03/07/2017,33,2 39
03/07/2017,50,33 67 67 72 74
03/07/2017,51,138
03/07/2017,53,39 39 44 100
03/07/2017,56,33 74 74
03/07/2017,59,37
03/07/2017,62,135
03/07/2017,63,1
03/07/2017,65,2 2
03/07/2017,69,1
03/07/2017,74,33 41 78 100 144
03/07/2017,79,33 33 50 50 100
03/07/2017,83,16 33
03/07/2017,85,33 78 78
03/07/2017,90,78
03/07/2017,92,78 78
03/07/2017,141,33 50 78
03/07/2017,143,2
03/07/2017,XXXXX,78 78 78
03/07/2017,XXXXX,78 78 78
04/07/2017,3,1 73 142
04/07/2017,4,33 33 61 71 71 73 73
04/07/2017,6,1 33 33 73
04/07/2017,9,1 39 50
04/07/2017,10,2 141
04/07/2017,11,67 70 72 73
04/07/2017,14,75
04/07/2017,16,141
04/07/2017,32,67
04/07/2017,33,39
04/07/2017,50,67 67
04/07/2017,51,138
04/07/2017,63,1
04/07/2017,65,2 2
04/07/2017,74,16 100 144
04/07/2017,83,72 72 72
04/07/2017,138,141 150 156
04/07/2017,141,70
04/07/2017,143,2
04/07/2017,XXXXX,78
04/07/2017,XXXXX,78
05/07/2017,3,2
05/07/2017,4,24 33 61 140
05/07/2017,6,50 123
05/07/2017,9,39 156
05/07/2017,10,2 141
05/07/2017,11,67 72
05/07/2017,14,16 24 50 83 144
05/07/2017,16,74
05/07/2017,XXXXX,67
05/07/2017,XXXXX,37
